,state,In labor force,Not in labor force,Population 16 years and over
0,Alabama,0.5920000000000001,0.408,4160138.0
1,Alaska,0.6659999999999999,0.33399999999999996,586083.0
2,Arizona,0.614,0.386,6193806.0
3,Arkansas,0.59,0.41,2477205.0
4,California,0.642,0.358,32089744.0
5,Colorado,0.687,0.313,4901957.0
6,Connecticut,0.6609999999999999,0.33899999999999997,3042260.0
7,Delaware,0.626,0.374,863403.0
8,District of Columbia,0.713,0.287,584506.0
9,Florida,0.608,0.392,19432374.0
10,Georgia,0.645,0.355,8972406.0
11,Hawaii,0.6409999999999999,0.359,1184486.0
12,Idaho,0.632,0.368,1593794.0
13,Illinois,0.655,0.345,10362614.0
14,Indiana,0.642,0.358,5542042.0
15,Iowa,0.665,0.335,2601819.0
16,Kansas,0.6659999999999999,0.33399999999999996,2365753.0
17,Kentucky,0.602,0.39799999999999996,3691655.0
18,Louisiana,0.599,0.401,3657192.0
19,Maine,0.619,0.381,1190522.0
20,Maryland,0.679,0.321,5059385.0
21,Massachusetts,0.672,0.32799999999999996,5953821.0
22,Michigan,0.616,0.384,8302384.0
23,Minnesota,0.6809999999999999,0.319,4663287.0
24,Mississippi,0.589,0.41100000000000003,2361219.0
25,Missouri,0.635,0.365,5049196.0
26,Montana,0.632,0.368,936938.0
27,Nebraska,0.687,0.313,1585014.0
28,Nevada,0.6459999999999999,0.354,2662492.0
29,New Hampshire,0.664,0.336,1194290.0
30,New Jersey,0.669,0.331,7710486.0
31,New Mexico,0.5870000000000001,0.413,1743934.0
32,New York,0.63,0.37,16370499.0
33,North Carolina,0.634,0.366,8982223.0
34,North Dakota,0.684,0.316,637108.0
35,Ohio,0.635,0.365,9634674.0
36,Oklahoma,0.615,0.385,3248967.0
37,Oregon,0.629,0.371,3553832.0
38,Pennsylvania,0.632,0.368,10785532.0
39,Puerto Rico,0.475,0.525,2796511.0
40,Rhode Island,0.6559999999999999,0.344,935797.0
41,South Carolina,0.613,0.387,4477096.0
42,South Dakota,0.679,0.321,733633.0
43,Tennessee,0.633,0.36700000000000005,5850310.0
44,Texas,0.657,0.34299999999999997,24569557.0
45,Utah,0.698,0.302,2688278.0
46,Vermont,0.648,0.35200000000000004,553496.0
47,Virginia,0.652,0.348,7173696.0
48,Washington,0.65,0.35,6505491.0
49,West Virginia,0.5489999999999999,0.451,1469628.0
50,Wisconsin,0.654,0.34600000000000003,4882973.0
51,Wyoming,0.649,0.35100000000000003,480483.0
